pm_experience_years,team_size,resource_utilization,overtime_hours,num_dependencies,planned_days,days_elapsed,percent_complete,milestone_delays,critical_path_length,budget_spent_pct,change_requests,open_issues,avg_issue_age_days,historical_on_time_rate,team_turnover_rate,client_response_lag_hours,scope_initial,scope_final,project_type,schedule_buffer_ratio,scope_creep_pct,issue_resolution_speed,is_late
15,131,1.2251143163195723,25,11,228,193,0.2888681815535573,5,63,0.4125522580252463,9,6,17,0.9547812933697309,0.02985104718677911,14,214,54,Implementation,0.6332114182098518,0.17565632374972145,4.428267073646545,0
29,88,1.0091827828619215,20,25,175,313,0.5472777539537825,4,52,1.0303787269912554,4,3,95,0.09668179483935546,0.45308123427514035,46,108,403,CustomDev,0.3302764735564605,0.5210655626120868,4.788283594496144,1
22,131,0.5439281435733849,23,41,340,260,0.8397944994077569,1,14,0.8678128793921422,4,17,62,0.3646540967000068,0.0015714698946930339,62,380,75,Implementation,0.32389219903037625,0.03641446993504982,5.176610832213439,0
22,155,0.6616900181613217,31,7,86,346,0.12958866518214218,4,60,0.3747563274048143,7,13,27,0.8989481497749026,0.61760494500937,14,106,313,CustomDev,-0.3992496416074703,0.08077598042508077,1.9684270179245644,0
21,137,1.435249554773196,3,39,120,358,0.8583357452361773,5,53,1.0285011781807367,4,1,67,0.12037066660113427,0.7383817668282039,37,474,418,Upgrade,0.09216564479517342,0.5953735090656556,5.388365654221193,1
23,130,0.6031649927390285,29,42,259,27,0.6089861087129861,1,97,0.5554185199307207,2,7,57,0.6837800788797584,0.11194400746996114,42,336,134,Migration,-0.33356497794821305,0.5230969691629603,2.878469408162479,1
15,168,1.1350927872097056,11,1,263,85,0.4896593441869984,6,91,0.9435115460853521,3,3,28,0.6889556249398345,0.46594915675641335,81,320,93,Implementation,0.11678452060483147,0.7495639044539466,4.367432889965228,1
3,140,1.2923256488409116,39,33,150,259,0.143940399884933,8,35,0.9873869694496624,2,9,12,0.24322382370184725,0.4602333104863542,32,78,78,Implementation,-0.07620319551793314,0.17442085504244448,2.5007096870462595,0
25,162,0.7654390627249239,9,24,338,35,0.5499038569824861,0,19,1.0068224596364075,4,13,67,0.14504522984470614,0.1364175736605593,63,306,234,CustomDev,0.527682543739266,0.044829643519676055,4.187580651243453,1
13,81,1.22507800313869,3,31,313,31,0.35363160776300107,0,22,1.025397517172757,5,3,38,0.7600627633353668,0.5095569745683133,7,164,438,Migration,-0.3419179044057509,0.0037778366330478153,7.425856496815949,1
15,41,0.6698951790301803,21,14,234,50,0.18896716568765037,5,49,0.6260430240234023,6,18,26,0.22887496187667722,0.658471155620926,40,95,96,Migration,0.3993680784499125,0.9753593888173102,5.096701246320969,0
11,47,0.7847502748337903,22,11,280,26,0.8799734463008907,7,96,0.9370216885991783,3,19,26,0.777532187587861,0.7033038098999332,73,471,105,CustomDev,0.8548607352359188,0.7245675493293742,8.177870102732346,0
5,122,0.8118220308842075,25,14,209,242,0.46057265076275145,1,86,1.3601202873423897,2,13,15,0.9073064620694326,0.12831849051105826,27,254,512,Upgrade,0.05395573473494786,0.7134004947418924,8.160436647570148,1
27,106,1.4964349905642236,43,7,187,100,0.07975603222692884,9,91,0.10217383300540178,9,5,69,0.04705013253914514,0.7285116696083462,56,379,109,Implementation,-0.08337355950138003,0.8124653359762766,1.9920868451822815,1
23,16,0.7145722952179573,34,20,212,344,0.3021386921520971,4,23,1.174786583578623,8,4,93,0.2797532316623702,0.6627485149874434,10,253,358,Upgrade,0.5949934917769162,0.06207479343189776,1.0697822101149521,0
19,41,0.629207464633585,18,43,313,37,0.18150488014324972,1,1,0.19315445397917602,8,17,76,0.7280671133197967,0.15127458406465155,58,447,214,Implementation,0.8278699273799799,0.770087922639815,3.327884914299193,0
12,193,1.4256914374814103,36,38,35,166,0.9392451655011282,4,67,0.6983775882256796,3,8,21,0.5659000753845875,0.1980730865898438,0,252,585,Implementation,0.8492000484165616,0.7791369931583181,5.514521658631135,1
24,145,0.6619306938203527,25,8,63,241,0.24306197121286388,4,40,0.24611609136311569,3,1,85,0.5161992798792087,0.32287500852899986,42,196,554,CustomDev,0.6432104057232284,0.8727150902158078,3.4679155412815,0
16,151,1.3792799196294054,11,27,189,131,0.5063967075617242,3,46,1.173630418423042,6,8,48,0.4682265628600486,0.7343593789193402,81,490,484,CustomDev,0.07417057707458552,0.016917362490448506,0.9083057262729717,1
13,40,1.1504566276466899,1,3,224,261,0.7455224911203105,5,73,0.05574607960741762,1,15,24,0.9570186232035531,0.3279306448925514,62,462,428,Implementation,-0.1006053557739755,0.17076800795820818,5.467834824733629,1
13,13,1.0768614980705187,0,2,90,306,0.1585108763062284,2,98,1.0517085992520439,9,12,43,0.7770983100573177,0.7564391682180279,27,155,175,CustomDev,0.3145551671098936,0.21381971890676765,5.1627535796315716,1
6,58,1.2513387115465768,11,31,232,233,0.4374875956063975,9,18,0.6022653165419329,2,15,64,0.5530276432042165,0.6700234445643533,61,368,436,Implementation,0.43107681894031,0.6546606342811387,7.356077909983393,1
2,171,1.22599895714805,40,15,38,221,0.6532814027431533,2,61,0.3975768125900234,2,13,65,0.32704866199939275,0.7308843160363215,87,411,54,Implementation,-0.47045235786587947,0.10523340063234543,2.853662834581182,0
16,101,0.6105261894183137,23,35,112,210,0.8819537243677824,8,4,1.4406916029907775,7,5,50,0.023763033784381715,0.07415992501754143,28,75,468,Migration,-0.014285662395021437,-0.11127493120151112,1.1209424788522195,0
26,157,1.499466110406689,22,7,184,362,0.6541031721724496,8,50,0.43809266933107,2,11,45,0.6777164636748736,0.44265375575211285,17,491,539,Implementation,0.05033894826327345,-0.027840312838650655,7.021443808287481,1
1,97,1.4418897264487285,19,5,46,285,0.08008384810057734,4,4,0.3175552028656756,4,11,53,0.15544530590957462,0.17075951200724793,12,330,484,CustomDev,0.13723779126975155,0.45270212320112185,7.127970464016939,0
25,98,1.3965919628619163,12,35,242,21,0.321561463112198,1,81,0.6471966763023345,9,19,74,0.15706504797514054,0.07817418612167282,6,270,188,Migration,-0.35704507651560957,0.47514874775152555,0.5023802150000707,1
24,120,1.1222891339424068,35,10,209,281,0.35093220186496554,9,56,0.4533673527859767,1,5,22,0.10452030673112822,0.2938341493567125,44,64,597,Upgrade,0.870822002574875,0.3352966268760244,4.154424986646902,1
8,191,1.0227913313323143,0,2,219,60,0.38827344922977824,5,26,1.0917133114006,1,6,28,0.8810103069937363,0.6414965131626077,85,229,436,Upgrade,0.9148884208796513,0.6364520025099201,2.939760869832364,1
18,88,1.0362785838816682,30,39,202,317,0.9416185392253299,3,23,0.045238813864862504,6,4,70,0.5777047999718851,0.7248560000185624,71,273,96,Migration,0.784596026321787,0.06983214982416991,9.882289298323268,0
4,119,0.5149369442282324,46,35,261,118,0.0357033521597232,1,65,1.038087480689329,0,7,72,0.8029484540134927,0.9061556786877095,95,326,520,CustomDev,0.7564928968787044,0.479267961304582,5.84189461359283,1
22,183,0.9994695019454429,44,46,248,253,0.3021736143847664,3,26,0.6331652097142436,6,12,62,0.01504062333143208,0.7195881708465812,60,87,108,Migration,-0.3076044486446732,0.18686803156344217,2.378563627135768,1
21,75,1.1237695676599198,18,29,251,269,0.49245592133348437,6,39,1.1759035717321717,2,8,76,0.47547647664304316,0.08465977688388293,66,446,351,Migration,0.7088791804489627,0.28282951786773924,6.079649995827646,0
10,168,1.1587062087749485,42,23,101,129,0.08639602424442894,5,2,0.5008456627029214,3,14,90,0.6245186351346139,0.707171566397793,67,56,583,Implementation,0.03310390903329663,0.9324114204132219,2.109285794702113,1
2,107,0.832139465051313,11,33,260,351,0.4835379607307613,0,35,0.027201353988104304,3,1,38,0.916048298215826,0.08450151325504551,30,317,465,Implementation,-0.2618293965976347,0.3429351427795802,6.2196392473088675,0
29,175,0.9712823502935495,12,39,90,191,0.10712891721055107,7,72,1.1449165039024158,1,14,60,0.5991023258077568,0.8299306726441926,51,449,308,Upgrade,0.5032690143163956,0.0956118733549754,8.861700730826671,1
13,94,1.1363106066625743,17,31,37,154,0.8377822146990704,3,6,0.19880760083466242,9,18,86,0.1314788942974573,0.03757509330110953,47,399,61,Upgrade,0.6872832134184532,-0.04768140944782778,5.603876298087094,0
26,126,0.9283055102751817,0,15,357,179,0.2700843918682262,1,84,0.7166642328713145,5,16,69,0.7104940791403003,0.5502274989157109,36,384,544,Migration,-0.12543691231502885,0.7086055511840177,5.479391480836877,0
20,65,1.4621351989835252,13,44,89,112,0.5230111825052224,6,27,1.2494933298510809,3,9,17,0.35644895598944715,0.819709190274169,84,141,390,CustomDev,-0.21805539703710897,0.8753545200216637,0.8639958942606472,0
23,127,1.2054421098520003,42,35,68,39,0.6183178543705979,7,73,1.3874925024408458,5,14,34,0.24245127028462443,0.36353228008162897,13,157,347,CustomDev,-0.31953519559277244,0.3262417174828515,6.393451663530225,1
22,65,0.5012737462508905,38,43,131,358,0.3057256170571151,8,14,0.369012864448204,3,15,60,0.8489452378425683,0.4163532833689775,16,93,338,CustomDev,0.6237504327846717,0.5541565540461237,1.138300489531919,1
5,122,0.523279481482253,16,27,364,296,0.35131469978282936,0,14,1.2572482961403035,4,7,18,0.5593293497349118,0.6582926288151048,85,385,431,Implementation,0.26930787260505284,0.8891240758436461,5.939491466539188,1
10,157,1.1903002034683743,15,22,319,297,0.510516053914428,3,87,1.1641623696891048,1,7,75,0.4926102998042007,0.32211347447853056,4,490,540,Upgrade,0.6262336273304647,0.07772868653072473,5.822377655058549,1
14,87,0.9126450975455027,17,42,271,333,0.8054346988451915,2,95,1.385348982741713,9,19,94,0.8410235582832406,0.9464051753880443,11,53,343,Implementation,0.03308204035965279,0.12720208844715325,3.0273100177684436,1
14,86,1.3394709492122663,5,30,93,223,0.45269187701582825,5,27,1.2227289555024896,7,16,57,0.9409212905578138,0.19796951106008376,56,299,252,CustomDev,0.17986971376287708,0.05725547835132466,9.594302760024657,1
1,65,0.673015409486262,7,38,240,359,0.4908959243354748,9,96,0.1342427553616768,3,19,60,0.638835380539263,0.03740348604493515,28,484,565,CustomDev,-0.44807895664565717,0.9102329122762731,2.1165058519850204,1
16,146,0.5138269140522919,49,44,309,359,0.5958649365087595,1,81,1.4165759339771724,5,17,67,0.8450031905773191,0.9402338242118219,74,80,592,Upgrade,0.36412433500954866,0.07653685791637221,3.372041507999177,0
4,118,0.8880823501137123,34,14,143,90,0.42521143982955034,6,26,0.03705782302563171,5,9,47,0.4222389080861705,0.4615355894516273,9,211,112,CustomDev,0.514217155568589,0.7796221143021058,8.610101249486073,0
22,103,1.236064104307449,33,9,116,160,0.7260783562763257,4,80,0.5153341212265283,0,7,70,0.9034955746733782,0.8094732280319228,84,330,492,CustomDev,0.8981312157423726,0.5612633868011987,9.564500094300639,1
20,6,1.4717277333775685,14,7,320,34,0.004907607294123095,4,98,0.5838527804016285,6,19,99,0.7193482957290483,0.671780862568134,58,362,97,Implementation,0.9316638054045279,-0.1291334351499704,9.356749262953873,0
27,22,1.3836538793510553,42,29,74,256,0.4830197345132503,9,30,0.727897287702269,5,9,31,0.9106718199449269,0.7825975623711123,7,313,254,Migration,-0.11286262894507904,0.875293606561063,7.9945647982381365,1
22,2,0.9840746119371389,8,40,334,40,0.9230161800775405,7,44,0.35284377904878844,6,19,26,0.8639262862534423,0.3532867590539204,98,218,535,CustomDev,0.31300469631079264,0.2551522074318472,1.6712285381266092,1
10,170,1.3128172831963667,48,48,190,278,0.6159037681539978,0,29,0.18569612004306196,2,12,47,0.3554775978152316,0.9465376744773366,0,481,105,Implementation,0.4341680203572307,0.33240988316211334,0.7934050860635078,0
29,170,0.570330457867614,25,1,271,293,0.48639974244492323,4,5,1.255571236370862,8,14,70,0.8845004417456144,0.26537857156441647,23,293,147,Migration,-0.16663138678493,0.4945590758917287,4.144386455412434,0
12,14,1.0722723475848834,16,0,154,150,0.7720248354714664,7,93,0.9627293245790041,7,14,75,0.5451120161255796,0.6239125879947001,10,450,152,Implementation,-0.22269679757861766,0.5139129293027267,7.615347707292152,1
9,10,1.42429841301447,37,33,267,230,0.3930007425318919,1,57,0.7123396654666351,2,16,22,0.7951590357053043,0.5291122796102148,52,148,547,CustomDev,-0.20598533248757028,0.8729688044058912,9.972569952640086,0
27,156,0.8963851474907399,20,13,339,346,0.4672456147234486,5,19,1.1619051190452967,5,2,94,0.7094660503154719,0.06440815151286716,66,269,52,CustomDev,0.34176782047539733,0.5300762243414103,8.441609647712374,1
11,105,1.4601006296631156,13,23,195,275,0.1951597214074824,4,53,1.3727356390739684,8,2,44,0.924269863407586,0.813922135344767,92,462,51,Implementation,0.9736190898227093,0.7757197052678133,8.927628814074435,1
2,62,0.7206850967291053,34,3,101,160,0.12420415090794479,0,78,0.33588985808508776,0,5,48,0.7040617042299435,0.09131167862776901,13,321,121,Migration,-0.22061929146087322,0.24217679598824066,4.292970836335414,0
14,123,0.6056338095333935,36,3,56,330,0.025522724171355038,9,85,0.4843656169414961,1,5,37,0.7205785493509075,0.7697585340559092,61,359,580,CustomDev,0.7742496487092803,0.9480642085457369,3.0858673794607374,0
23,48,1.024762336081701,30,26,340,14,0.7315089038554331,3,78,1.401483149254985,8,9,3,0.9969186724465829,0.4490043510490973,67,354,162,Upgrade,-0.4851851919093959,0.8864346567542278,4.743336527951955,0
5,40,1.4072468719812243,23,34,364,82,0.468190114178919,2,36,0.816065041827148,0,2,75,0.8689685131256244,0.6882015382571771,8,81,127,Implementation,0.5707412974923076,0.08542773061832987,4.7542792857853415,1
13,74,0.8112792187447442,16,44,248,119,0.9393532495969783,0,92,0.4218589004552515,3,10,45,0.6124164719528343,0.3879369427285032,12,366,349,Migration,0.1788577111983798,0.6070580932013938,6.229974320044281,1
3,179,1.3001603193989524,20,24,35,132,0.17681604969096665,0,76,0.23733306708023,8,3,46,0.7506353387115203,0.6650324292728871,91,149,141,Implementation,-0.47568951932051656,-0.1087752850480905,0.8736135279554816,1
20,153,0.669197265880281,43,32,326,245,0.24398342968400966,1,45,1.4830653943658982,7,14,52,0.2552610435355558,0.6383121700850284,62,271,434,CustomDev,0.892263156551931,0.2876607167567198,5.872310419748426,0
14,38,1.2455703960009394,17,43,195,289,0.6387259465346254,7,78,0.8025358477624982,3,15,34,0.5485359949151228,0.39917658294347136,36,87,165,CustomDev,-0.4281392591022372,0.4922153758134105,2.012152089993846,1
9,112,1.0570269413874311,48,21,108,19,0.05459768563068801,2,99,1.2933863396651057,5,19,13,0.9816374076078619,0.8535656531687557,80,190,154,CustomDev,-0.02973747334333937,0.43489538447129533,1.5447828861962143,0
6,177,0.6750169753943722,7,10,152,94,0.5034132540191462,4,4,0.9539949603881388,7,4,29,0.17176751636898302,0.9451693500576612,96,114,491,CustomDev,-0.4544502709269139,0.09121391545526542,4.958840470580566,1
16,190,1.2180872494376085,8,41,345,298,0.12358151741147627,6,61,0.6654960500250051,3,1,54,0.896583476474361,0.9471893175609494,49,301,519,Migration,0.9385215696782769,0.18245474163602637,5.886528483117751,0
20,152,1.2137561134564274,16,0,290,184,0.16139745425648777,3,67,1.287447196262426,7,7,83,0.7435133854122701,0.8072879684670312,14,75,251,Upgrade,0.4776958950667506,0.005119122527383196,7.117957001131877,1
28,26,1.0154352291434403,0,13,229,113,0.5120998733428421,4,87,0.5347623451944759,8,14,43,0.28932128752455366,0.17586831447683715,43,365,124,Implementation,-0.3089203648292653,0.9396983203170275,3.629001520379541,1
13,48,0.7254676376426746,43,6,276,161,0.5690708093124169,4,48,1.1527081419183087,6,8,20,0.9464160290159801,0.9647565535362047,90,488,296,CustomDev,0.5475902893996374,0.8826754965410266,9.304538104521157,1
4,44,0.6322938922449965,17,32,313,221,0.212034744918023,9,34,0.6801240658730425,6,4,26,0.4253147574332635,0.576125812519209,8,315,163,Upgrade,0.9707149163686346,0.8418230452840973,1.1373008882320017,1
24,30,1.4572550484597893,5,13,240,217,0.27123861586811115,9,21,1.3460847754648966,2,1,45,0.4719694433345617,0.2152063367790843,93,346,240,CustomDev,0.279132083526919,0.18631907358154398,9.53393094078519,0
18,35,1.155812538259155,30,17,135,302,0.2841075876337974,2,41,0.7548269414833555,8,3,91,0.4824633570182746,0.5943617082746802,7,376,332,Implementation,-0.11027007066415395,0.6884844625226341,7.242409498069339,1
21,63,1.309241483573384,47,32,55,360,0.14180982799742825,2,42,0.48872545844243764,4,17,42,0.1952402368833439,0.6045842336677323,72,303,259,Implementation,0.3739791643489987,0.7954206025226425,4.159243618703462,0
2,111,1.1969705290502417,49,14,71,294,0.9657208521747049,4,83,1.0886164405856618,5,16,25,0.6380921435189626,0.4308579691451947,62,89,172,Upgrade,0.4240686383553327,-0.16646694208527726,8.049362432451627,0
9,80,1.329473665192289,5,18,109,37,0.692199930858819,2,85,1.2902007830851048,8,16,47,0.5215310999543499,0.11043324401481391,71,347,272,Implementation,0.2279371512555226,0.4898704917771091,5.775253390250587,0
23,84,0.6624908197489234,39,24,287,153,0.1108418314271844,5,51,1.2765274254021812,3,10,91,0.9827861595212002,0.6652070501268011,62,493,302,CustomDev,0.8304369156206901,0.4864845737204366,7.323565818208486,0
24,49,0.9969502245470444,18,5,61,176,0.3571601819218181,5,69,0.7176077034435384,0,0,66,0.7751722310482853,0.1690481649135538,92,364,471,Migration,0.3698484305322597,-0.1740431451193942,1.2205279038624461,1
13,31,1.1671247705022934,41,46,72,229,0.1726027956000067,4,73,0.6602564814993519,0,13,71,0.43824136522393553,0.26131361358108585,81,116,251,Implementation,0.5362042739377866,0.16075975653603164,3.744500175249479,1
24,199,0.603389899895218,30,49,357,350,0.2343861333249182,4,63,0.22393990835836464,5,11,88,0.8894568579483808,0.7896011256574987,40,304,361,Implementation,0.5571974988472261,0.797854726834293,3.5940459644354386,1
25,120,0.6499569493284083,36,35,164,163,0.9394777761300473,8,75,0.05886500431399211,5,12,2,0.9247643470218133,0.6660422777927532,14,459,112,Implementation,0.16016498326221473,0.9276752905850403,6.004166530580927,0
11,46,1.1339825942509465,41,5,72,126,0.13675295329534476,1,9,1.39728082741677,1,11,15,0.572504909693848,0.15065760189223198,85,406,483,Migration,0.06123881577684842,0.08528482242862484,7.60371866825604,0
26,162,1.36870580425382,44,23,322,328,0.8798117296833915,7,46,1.0878447931354231,6,4,22,0.9599928804637713,0.5660473546130836,56,265,273,Migration,0.5619705777072417,0.8964643849001288,2.3321753224014046,1
8,166,1.1604161789415977,7,17,354,270,0.8418350348521122,5,67,0.8651725096228062,1,12,71,0.5201062072878491,0.2628473211351513,66,311,364,Upgrade,-0.27799495163331644,0.9179217878724264,7.56627933801014,1
7,193,0.5362048134560756,36,8,198,167,0.7436682519047838,7,52,0.8751107278329449,6,19,20,0.21934630610131922,0.7216228538312146,37,458,287,CustomDev,0.3485206476299646,0.33050840107228013,6.264808772718041,1
20,32,1.470432917090323,7,43,67,339,0.49672202392088516,5,76,0.03502026007233461,4,5,14,0.5251864095844239,0.3497560020975852,33,114,79,Migration,0.0756636903583967,-0.1262633574748022,6.873537513981288,0
19,128,0.6395069009062451,47,20,240,110,0.25836765477067947,7,32,0.6806272472305646,9,5,42,0.4873395754542129,0.1990772260783511,50,140,543,Migration,0.11702833873713914,0.4192554816120257,4.352384545124513,1
4,196,0.7325622335524897,31,32,318,87,0.8309798656928384,6,95,1.3819870534141898,3,3,0,0.5125074171858884,0.3393630297121184,2,113,526,CustomDev,0.7667531583726657,0.29161259897800906,2.1953452799070403,0
24,161,1.4749672819047244,9,34,353,7,0.8340749656393157,7,13,0.6930558707047854,7,12,87,0.17549474368026796,0.8786349860876477,47,447,507,Implementation,-0.20756626520259003,0.57460292712465,4.761947497815294,1
5,45,1.2710329966533749,14,15,222,29,0.5253159953461247,4,80,0.8712192222115909,8,1,0,0.20408542330692037,0.04791039236330008,75,88,166,Migration,0.01814857835796735,-0.12019607749507367,3.5058983904125633,1
24,178,1.4365766803785065,44,17,346,315,0.04761338641616819,8,72,0.5656517580790785,9,12,15,0.3940152045148725,0.7315024245782561,5,134,330,Upgrade,0.37792820038296915,0.19337421686465306,4.7107786374624725,1
0,84,1.3066196928080296,32,48,308,27,0.19296118053633138,2,8,0.15755169689116738,4,14,89,0.7556411906169967,0.9334353300158621,48,138,195,Upgrade,-0.048366972352889226,-0.11572185467251993,6.748386722432824,1
23,98,1.1517344750032001,11,41,84,279,0.05608345950601734,7,25,0.4853531381878444,5,5,98,0.23173346273754325,0.2567966275750472,19,367,65,Migration,0.8846041587749993,-0.17231532132492078,1.7214613407480694,0
23,112,0.784552998863006,41,25,242,26,0.17983801797713073,3,94,0.12763367799421632,7,9,84,0.08132170389782822,0.16243968856834812,80,68,277,CustomDev,0.2747601950876355,0.21483249039379032,9.713181059536597,0
23,154,0.8268814416995254,35,26,253,84,0.5084212807744103,7,68,0.8678693075851924,5,4,49,0.26721877615200373,0.9381990242272426,22,62,592,CustomDev,0.11391303872679093,0.4198967054798252,3.1651449403256753,0
19,24,1.4472710730443699,3,0,287,127,0.8541734561081626,8,79,1.4726311829869803,6,12,32,0.3969166367509601,0.4069690254295475,44,244,498,Upgrade,0.4761560449871547,0.8740607106014242,9.039916722675898,1
14,108,1.3606256161556445,14,10,208,78,0.6532368324712254,1,84,0.5440480543966603,4,3,91,0.05551069293994426,0.20640739803987684,6,195,173,Migration,0.3247975242040573,-0.1168741121392453,4.976119739632159,1
21,163,0.8594904484423265,42,0,274,46,0.600902969523361,6,1,1.2876590227857143,9,11,64,0.4100164420819711,0.31552107239580784,10,139,209,Upgrade,-0.16428134768765118,0.4535168343334968,6.508646783822352,1
8,110,0.8732674176207038,17,40,225,360,0.747953542095095,5,85,0.06417130326848752,9,11,3,0.5870401184615053,0.5173323001103934,54,482,170,CustomDev,-0.07105647938049375,0.9121638177454809,5.596541476863723,1
23,55,0.7976943902758847,1,47,117,147,0.6399114745585177,3,71,0.7575277716788291,2,13,14,0.824546680238037,0.41733843274401516,56,328,67,CustomDev,0.8823123117341614,0.9659737441428407,7.664733825996304,1
16,12,0.826130142625004,30,8,192,154,0.44342726445456737,2,25,0.9817022439837919,1,18,89,0.48435147302690773,0.5301056969571999,26,380,194,Migration,0.23230019151953318,0.16679302329681467,2.4705723996684044,1
13,110,1.3606674662887857,44,14,343,275,0.8153634452631032,6,31,0.47884052503356445,7,14,75,0.7310608356250361,0.38769890039101407,63,486,503,Implementation,0.02379846776185479,0.5998102793855469,8.869777507448342,0
15,140,0.5105068565898468,27,17,312,333,0.3101844704534268,8,40,0.14752080666145184,1,5,7,0.6778174576471625,0.5304325934647767,16,364,180,Upgrade,0.9241377991434743,-0.19110474731470833,3.9026549437892166,0
17,110,0.9360526211095247,48,40,245,108,0.9281149072819286,3,60,0.3268506081760435,1,4,99,0.5403479113840005,0.9028555426670054,45,177,346,Migration,0.42447766904549755,0.7816894596949622,4.623983822253157,0
1,195,1.4428396785279078,5,20,137,165,0.11619058251729963,3,27,0.10501462249151855,8,8,56,0.5599438315893479,0.819285135760851,97,295,265,CustomDev,0.537943453818869,0.968721602470751,7.019919148484747,0
4,120,1.0426363551828088,33,2,97,174,0.6376798928642896,8,28,1.3323295033251559,8,13,94,0.2901206611259035,0.5954889844191431,16,85,142,CustomDev,-0.08564286481020034,0.3805004660032176,2.577114243679074,0
7,102,0.9504457901439035,32,29,125,95,0.5005163530401366,7,54,0.006873062950453479,0,7,96,0.14651783809649033,0.42142844422156556,82,371,556,Implementation,-0.19887131219374782,-0.04647206726903455,8.63495927659583,1
3,12,0.8123698046995881,49,7,132,46,0.42576165667666543,7,73,0.10405810722435022,8,5,63,0.5298755414262643,0.8481538481635438,10,320,514,CustomDev,0.1854268416613004,0.12709134805010858,9.894781348133469,0
13,112,0.5739126298619038,26,32,352,336,0.4297163797949136,5,43,1.1935346615396214,9,13,5,0.27043306634241626,0.35434780367268737,13,465,547,Implementation,0.12207790485753667,-0.13852276687516896,2.5103843294116235,1
20,34,0.7244864780275129,41,42,208,254,0.04220752403904726,1,19,0.4495950749685701,8,0,44,0.3701248885645845,0.8803390944247595,27,187,535,Implementation,0.6825611588258305,-0.16016349902558727,4.2827156208139305,1
19,145,0.5904584099368713,7,3,160,247,0.7515138048628117,1,12,0.5471397860634133,2,16,89,0.7492802168676653,0.1883694180738371,20,79,549,CustomDev,-0.16466733807504896,0.36506822183974946,9.160563201420802,0
14,33,0.6266994297154282,2,49,325,115,0.35234708016206495,0,83,0.4600305312882707,3,16,36,0.6702594552774477,0.27004999105474115,69,208,312,CustomDev,0.40220946223903264,0.4393510798027663,8.878631200926035,0
25,181,0.6635165441262698,35,33,153,241,0.47663635697337703,3,49,1.3360601486810941,6,1,30,0.14782085876035178,0.6004358869816617,51,183,93,CustomDev,0.183047447016219,0.11865162473212071,7.818688018261456,1
16,61,0.8020294320842785,0,2,296,49,0.8475940869705246,0,8,1.3931083327960352,1,15,27,0.12993138353645706,0.6986673254017257,49,495,516,Upgrade,0.6002576250452254,0.6650347681037376,3.4807091261404497,0
2,87,0.5110166799955355,43,11,244,43,0.577108501080367,4,37,1.3932206176770194,8,10,66,0.856613373567012,0.9199311686042444,71,406,344,Migration,0.9123172346280422,0.35579791652571363,6.52945071831476,1
22,29,1.4501438855932478,1,8,131,348,0.8514365951571664,0,3,0.46101498183512585,8,15,8,0.38847984039935834,0.42441389832978504,51,207,257,CustomDev,-0.24394146119445692,0.09094866027337861,6.336272385330418,1
